it,cmdidDbErDiagram,ER Diagram
it,cmdidDebugViewBuild,Visualizza contesto come DebugView
it,cmdidDgmlBuild,Aggiungi diagramma del contesto
it,cmdidDgmlNuget,Aggiungi estensione AsDgml()
it,cmdidOptions,Opzioni
it,cmdidReverseEngineerCodeFirst,Reverse Engineer
it,cmdidReverseEngineerEdit,EF Core Power Tools - Modifica
it,cmdidReverseEngineerRefresh,EF Core Power Tools - Aggiorna
it,cmdidReverseEngineerRefresh,Refresh
it,cmdidSqlBuild,Genera DDL SQL del contesto
it,cmdidT4Drop,Aggiungi template T4
it,Command1Id,Creazione Contesto EF Core...
ja,cmdidAbout,情報
ja,cmdidCmdAnalyze,EF Core Power Tools - Analyze (experimental)
ja,cmdidCmdDatabase,EF Core Power Tools - リバースエンジニアリング
ja,cmdidCmdDiagram,EF Core Power Tools - ER Diagram
ja,cmdidDacpacReport,Analyze (preview)
ja,cmdidDbCompare,DbContext・データベース比較
ja,cmdidDbDgml,データベーススキーマ表示 (プレビュー)
ja,cmdidDbErDiagram,ER Diagram
ja,cmdidDebugViewBuild,DbContextのDebugView表示
ja,cmdidDgmlBuild,DbContextダイアグラム追加
ja,cmdidDgmlNuget,AsDgml() 拡張追加
ja,cmdidOptions,オプション
ja,cmdidReverseEngineerCodeFirst,リバースエンジニアリング
ja,cmdidReverseEngineerEdit,EF Core Power Tools - 編集
ja,cmdidReverseEngineerRefresh,EF Core Power Tools - 更新
ja,cmdidReverseEngineerRefresh,Refresh
ja,cmdidSqlBuild,DbContext DDL SQL表示
ja,cmdidT4Drop,T4テンプレート追加
ja,Command1Id,Create EF Core DbContext...
ko,cmdidAbout,정보
ko,cmdidCmdAnalyze,EF Core Power Tools - 분석 (실험적)
ko,cmdidCmdDatabase,EF Core Power Tools - 리버스 엔지니어링
ko,cmdidCmdDiagram,EF Core Power Tools - ER 다이어그램 (ERD)
ko,cmdidDacpacReport,분석 (프리뷰)
ko,cmdidDbCompare,데이터베이스와 DbContext 비교
ko,cmdidDbDgml,데이터베이스 스키마 시각화
ko,cmdidDbErDiagram,ER 다이어그램 (ERD)
ko,cmdidDebugViewBuild,DebugView로 DbContext 보기
ko,cmdidDgmlBuild,DbContext 다이어그램 추가
ko,cmdidDgmlNuget,AsDgml() 확장 추가
ko,cmdidOptions,옵션
ko,cmdidReverseEngineerCodeFirst,리버스 엔지니어링
ko,cmdidReverseEngineerEdit,EF Core Power Tools - 편집
ko,cmdidReverseEngineerRefresh,EF Core Power Tools - 새로고침
ko,cmdidReverseEngineerRefresh,새로고침
ko,cmdidSqlBuild,DbContext DDL SQL 보기
