cmdidT4Drop,cs,Přidat šablony pro T4 Scaffolding
cmdidT4Drop,de,T4-Gerüstvorlagen hinzufügen
cmdidT4Drop,en,Add T4 Scaffolding Templates
cmdidT4Drop,es,Añadir plantillas T4 de andamiaje «Scaffolding»
cmdidT4Drop,fr,Ajouter Templates T4
cmdidT4Drop,it,Aggiungi template T4
cmdidT4Drop,ja,T4テンプレート追加
cmdidT4Drop,ko,T4 스캐폴딩 템플릿 추가
cmdidT4Drop,pl,Dodaj szablony T4
cmdidT4Drop,pt-br,Adicionar modelos de Scaffolding em T4  
cmdidT4Drop,ru,Добавьте шаблоны генерации T4
cmdidT4Drop,tr,T4 Scaffolding Şablonları Ekle
cmdidT4Drop,zh-Hans,添加 T4 模板
cmdidT4Drop,zh-Hant,新增 T4 Scaffolding 樣板
Command1Id,cs,Vytvořit EF Core DbContext...
Command1Id,de,EF Core DbContext erstellen...
Command1Id,en,Create EF Core DbContext...
Command1Id,es,Crear DbContext de EF Core...
Command1Id,fr,Créer un DbContext EF Core ...
Command1Id,it,Creazione Contesto EF Core...
Command1Id,ja,Create EF Core DbContext...
Command1Id,ko,EF Core DbContext 생성...
Command1Id,pl,Utwórz DbContext do EF Core...
Command1Id,pt-br,Criar o EF Core DbContext...
Command1Id,ru,Создать класс EF Core контекст БД...
Command1Id,tr,Create EF Core DbContext...
Command1Id,zh-Hans,创建 EF Core 数据库上下文中...
Command1Id,zh-Hant,正在建立 EF Core DbContext...
